index,drug_smi
117,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C
118,NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F
119,NC(=NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)N=C(N)Nc1ccc(Cl)cc1
120,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1
121,Nc1ncn(C2CC(O)C(CO)O2)c(=O)n1
122,Cn1cncc1C(N)(c1ccc(Cl)cc1)c1ccc2c(c1)c(-c1cccc(Cl)c1)cc(=O)n2C
123,O=C(O)c1ccc2cc(-c3ccc(O)c(C45CC6CC(CC(C6)C4)C5)c3)ccc2c1
124,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1
125,CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21
126,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
127,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
128,CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C
129,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12
130,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
131,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
132,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
133,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
134,CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O
135,CC(=O)Oc1ccccc1C(=O)O
136,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O
137,NCCc1cnc[nH]1
138,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
139,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
140,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1
141,CN(C)CCOC(c1ccccc1)c1ccccc1
142,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1
143,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
144,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1
145,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1
146,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
147,CC1=C2N=C(C=C3N=C(C(C)=C4[N-]C(C(CC(N)=O)C4(C)CCC(=O)NCC(C)OP(=O)([O-])OC4C(CO)OC(n5cnc6cc(C)c(C)cc65)C4O)C4(C)N=C1C(CCC(N)=O)C4(C)CC(N)=O)C(CCC(N)=O)C3(C)C)C(CCC(N)=O)C2(C)CC(N)=O.[Co+2]
148,O=C(O)c1cccnc1
149,NC(=O)c1cccnc1
150,CC(=O)Nc1ccc(OCC(C)(O)C(=O)Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)cc1
151,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F
152,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
153,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
154,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O
155,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1
156,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
157,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1
158,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
159,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
160,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
161,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
162,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1
163,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
164,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1
165,CC12CCC3C(CCC45OC4C(O)=C(C#N)CC35C)C1CCC2O
166,Oc1ccc(C2Oc3ccc(O)cc3C3CCCC32)cc1
167,CCN(CC)CCOc1ccc(Cc2ccccc2)cc1
168,CC(C)c1cccc(C(C)C)c1O
169,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1
170,CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
171,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC
172,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2
173,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1
174,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
175,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
176,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1
177,COc1ccc(C2(C#N)CCC(C(=O)O)CC2)cc1OC1CCCC1
178,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1
179,CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)[nH]c12
180,CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c2ccc3c(c2)OCO3)C1=O
181,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
182,CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12
183,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
184,Cn1cnc2c1c(=O)[nH]c(=O)n2C
185,CCCC(NC(C)C(=O)N1C(C(=O)O)CC2CCCCC21)C(=O)OCC
186,CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O
187,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12
188,O=C(Nc1cccc2c(=O)cc(-c3nn[nH]n3)oc12)c1ccc(OCCCCc2ccccc2)cc1
189,NC(=O)N1c2ccccc2CC(=O)c2ccccc21
190,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N
191,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
192,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
193,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F
194,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N
195,CCC1(c2ccccc2)C(=O)NCNC1=O
196,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
197,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12
198,Fc1ccc(C(c2ccc(F)cc2)N2CCN(CC=Cc3ccccc3)CC2)cc1
199,CC(C)CC(CN)CC(=O)O
200,CCC(C(N)=O)N1CCCC1=O
201,CC(NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12
202,NCC1(CC(=O)O)CCCCC1
203,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
204,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O
205,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1
206,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1.CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
207,Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1
208,N=c1nc(N2CCCCC2)cc(N)n1O
209,CC1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1
210,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N
211,Nc1nc2ccc(OC(F)(F)F)cc2s1
212,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
213,CCCCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCCO3)CC1
214,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
215,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1
216,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12
217,CN(C)CCc1c[nH]c2ccc(CC3COC(=O)N3)cc12
218,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12
219,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1
220,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
221,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
222,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2
223,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
224,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
225,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21
226,CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1
227,c1cnc2cc3c(cc2n1)C1CNCC3C1
228,O=c1cccc2n1CC1CNCC2C1
229,c1ccc(C2CN3CCSC3=N2)cc1
230,CC(OC1OCCN(Cc2nc(=O)[nH][nH]2)C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
231,Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1
232,Cn1c(=O)c2[nH]cnc2n(C)c1=O
233,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O
234,c1nc2nc(Nc3ccc(N4CCOCC4)cc3)nc(NC3CCCCC3)c2[nH]1
235,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1
236,Cc1nnc(C(C)C)n1C1CC2CCC(C1)N2CCC(NC(=O)C1CCC(F)(F)CC1)c1ccccc1
237,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
238,CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)O)n2C1
239,CC(c1cc2ccccc2s1)N(O)C(N)=O
240,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1
241,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N
242,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3
243,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1
244,COc1ccc2cc(C(C)C(=O)O)ccc2c1
245,CC(=O)Nc1ccc(O)cc1
246,CC(C)Cc1ccc(C(C)C(=O)O)cc1
247,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1
248,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
249,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1
250,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1
251,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21
252,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21
253,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23
254,CC(C)(C)COc1ccc(-n2cc(C(=O)O)cn2)cc1C#N
255,CC(O)C(CO)NC(=O)C1CSSCC(NC(=O)C(N)Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N1
256,COCC(NC(C)=O)C(=O)NCc1ccccc1
257,CC12CC3CC(C)(C1)CC(N)(C3)C2
258,NC1CONC1=O
259,NCCCCNCCCN
260,Oc1c(Cl)cc(Cl)c2cccnc12
261,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21
262,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1
263,CCCCCCCCCCCCCCCC(=O)OC1C(SC)OC(C(NC(=O)C2CC(CCC)CN2C)C(C)Cl)C(O)C1O
264,Nc1ccn(C2CCC(CO)O2)c(=O)n1
265,O=c1nc[nH]c2c1ncn2C1CCC(CO)O1
266,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O
267,NCC1CCC(C(=O)O)CC1
268,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12
269,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
270,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1
271,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12
272,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1
273,CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F
274,Nc1[nH]c(=O)ncc1F
275,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)s3)ccc2[nH]1
276,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
277,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O
278,CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12
279,CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1
280,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1
281,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
282,CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(=O)C(C(N)=O)=C(O)C3(O)C(=O)C1=C2O
283,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21
284,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1
285,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21
